,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-10,47.95249938964844,48.842498779296875,47.904998779296875,48.14500045776367,46.52763366699219,104883600,132.39999389648438,134.0800018310547,132.0,132.60000610351562,126.4600601196289,26477100,53.849998474121094,54.742000579833984,53.763999938964844,54.13800048828125,54.0759391784668,28510000,91.0999984741211,94.24349975585938,90.9000015258789,93.03150177001953,93.03150177001953,107420000,14.016667366027832,14.462667465209961,13.934000015258789,14.192000389099121,14.192000389099121,158775000
2019-06-11,48.71500015258789,49.0,48.400001525878906,48.70249938964844,47.06639862060547,107731600,133.8800048828125,134.24000549316406,131.27999877929688,132.10000610351562,125.98321533203125,23913700,54.8494987487793,55.20050048828125,53.97850036621094,54.051998138427734,53.99003601074219,33508000,94.1624984741211,94.68499755859375,92.9000015258789,93.18499755859375,93.18499755859375,80854000,14.609333038330078,14.726667404174805,14.233332633972168,14.473333358764648,14.473333358764648,174802500
2019-06-12,48.48749923706055,48.99250030517578,48.34749984741211,48.54750061035156,46.91660690307617,73012800,131.39999389648438,131.97000122070312,130.7100067138672,131.49000549316406,125.4014663696289,17092500,53.997501373291016,54.125999450683594,53.47999954223633,53.95500183105469,53.893150329589844,23670000,92.6989974975586,93.25,92.21900177001953,92.76599884033203,92.76599884033203,53566000,14.863332748413086,14.892000198364258,13.933333396911621,13.950667381286621,13.950667381286621,227962500
2019-06-13,48.67499923706055,49.1974983215332,48.400001525878906,48.537498474121094,46.90694046020508,86698400,131.97999572753906,133.0,131.55999755859375,132.32000732421875,126.1930160522461,17200800,54.23550033569336,54.829498291015625,54.128501892089844,54.550498962402344,54.48796463012695,20814000,93.33599853515625,94.15450286865234,93.11100006103516,93.51499938964844,93.51499938964844,55916000,14.025333404541016,14.326666831970215,13.833999633789062,14.260666847229004,14.260666847229004,122524500
2019-06-14,47.88750076293945,48.397499084472656,47.57500076293945,48.185001373291016,46.566280364990234,75046000,132.25999450683594,133.7899932861328,131.63999938964844,132.4499969482422,126.31698608398438,17821700,54.48699951171875,54.737998962402344,54.07400131225586,54.314998626708984,54.25273132324219,24582000,93.19999694824219,93.80000305175781,92.94999694824219,93.4834976196289,93.4834976196289,57024000,14.083333015441895,14.44333267211914,14.026666641235352,14.32800006866455,14.32800006866455,111501000
2019-06-17,48.224998474121094,48.7400016784668,48.04249954223633,48.47249984741211,46.84412384033203,58676400,132.6300048828125,133.72999572753906,132.52999877929688,132.85000610351562,126.698486328125,14517800,54.45500183105469,55.06399917602539,54.400001525878906,54.69449996948242,54.631797790527344,19770000,93.82499694824219,94.78450012207031,93.77249908447266,94.30149841308594,94.30149841308594,52686000,14.36533260345459,15.133333206176758,14.284667015075684,15.001999855041504,15.001999855041504,184752000
2019-06-18,49.01250076293945,50.0724983215332,48.8025016784668,49.61249923706055,47.945823669433594,106204000,134.19000244140625,135.24000549316406,133.57000732421875,135.16000366210938,128.9014892578125,25934500,55.57500076293945,55.93899917602539,55.03950119018555,55.262001037597656,55.19865036010742,34526000,95.06749725341797,96.08350372314453,94.989501953125,95.06849670410156,95.06849670410156,77914000,15.248000144958496,15.649333000183105,14.837332725524902,14.982666969299316,14.982666969299316,190737000
2019-06-19,49.91999816894531,49.970001220703125,49.32749938964844,49.467498779296875,47.80570602416992,84496800,135.0,135.92999267578125,133.80999755859375,135.69000244140625,129.40695190429688,23744400,55.36199951171875,55.471500396728516,54.80149841308594,55.22549819946289,55.16218948364258,26714000,95.39199829101562,95.97899627685547,94.62349700927734,95.43949890136719,95.43949890136719,57906000,15.007332801818848,15.184666633605957,14.737333297729492,15.095333099365234,15.095333099365234,98626500
2019-06-20,50.092498779296875,50.15250015258789,49.50749969482422,49.8650016784668,48.18984603881836,86056000,137.4499969482422,137.66000366210938,135.72000122070312,136.9499969482422,130.60862731933594,33042600,56.084999084472656,56.13600158691406,55.349998474121094,55.65999984741211,55.59619140625,24018000,96.66649627685547,96.76000213623047,95.29000091552734,95.90950012207031,95.90950012207031,64344000,14.866666793823242,15.126667022705078,14.423333168029785,14.641332626342773,14.641332626342773,177952500
2019-06-21,49.70000076293945,50.212501525878906,49.537498474121094,49.69499969482422,48.02555465698242,191202400,136.5800018310547,137.72999572753906,136.4600067138672,136.97000122070312,130.62770080566406,36727900,55.49300003051758,56.32849884033203,55.486000061035156,56.26850128173828,56.20399475097656,50774000,95.80500030517578,96.29750061035156,95.37899780273438,95.56500244140625,95.56500244140625,78672000,14.414667129516602,14.812000274658203,14.366666793823242,14.790666580200195,14.790666580200195,123031500
2019-06-24,49.6349983215332,50.040000915527344,49.54249954223633,49.64500045776367,47.97723388671875,72881600,137.0,138.39999389648438,137.0,137.77999877929688,131.4001922607422,20628800,56.0,56.17850112915039,55.66550064086914,55.834999084472656,55.770992279052734,24236000,95.63300323486328,95.84300231933594,95.06500244140625,95.69499969482422,95.69499969482422,45660000,14.88266658782959,15.057332992553711,14.73466682434082,14.909333229064941,14.909333229064941,86262000
2019-06-25,49.60749816894531,49.814998626708984,48.8224983215332,48.89250183105469,47.25001907348633,84281200,137.25,137.58999633789062,132.72999572753906,133.42999267578125,127.25157928466797,33327400,55.75400161743164,55.78499984741211,54.22999954223633,54.37900161743164,54.3166618347168,31644000,95.59200286865234,95.81950378417969,93.62100219726562,93.91349792480469,93.91349792480469,60246000,14.959333419799805,15.022666931152344,14.63266658782959,14.650667190551758,14.650667190551758,92731500
2019-06-26,49.442501068115234,50.247501373291016,49.337501525878906,49.95000076293945,48.271995544433594,104270000,134.35000610351562,135.74000549316406,133.60000610351562,133.92999267578125,127.72847747802734,23657700,54.54999923706055,54.75600051879883,53.68450164794922,54.01599884033203,53.95407485961914,34698000,94.6240005493164,95.19000244140625,94.36599731445312,94.8915023803711,94.8915023803711,48838000,14.687333106994629,15.148667335510254,14.539999961853027,14.618000030517578,14.618000030517578,127608000
2019-06-27,50.0724983215332,50.39250183105469,49.89250183105469,49.935001373291016,48.25749969482422,83598800,134.13999938964844,134.7100067138672,133.50999450683594,134.14999389648438,127.93826293945312,16557500,54.337501525878906,54.42300033569336,53.79249954223633,53.83150100708008,53.76979064941406,24078000,95.0999984741211,95.56199645996094,94.9020004272461,95.21399688720703,95.21399688720703,42834000,14.630000114440918,14.859999656677246,14.489999771118164,14.855999946594238,14.855999946594238,95095500
2019-06-28,49.66999816894531,49.875,49.26250076293945,49.47999954223633,47.817779541015625,124442400,134.57000732421875,134.60000610351562,133.16000366210938,133.9600067138672,127.75707244873047,30043000,53.86149978637695,54.13999938964844,53.689998626708984,54.13999938964844,54.07793426513672,33672000,95.45500183105469,95.64700317382812,94.19999694824219,94.68150329589844,94.68150329589844,60748000,14.732666969299316,15.011333465576172,14.720000267028809,14.897333145141602,14.897333145141602,102771000
2019-07-01,50.79249954223633,51.122501373291016,50.162498474121094,50.38750076293945,48.69478988647461,109012000,136.6300048828125,136.6999969482422,134.97000122070312,135.67999267578125,129.3974151611328,22613500,55.051998138427734,55.429500579833984,54.76649856567383,55.0,54.93695068359375,29196000,96.14900207519531,96.49099731445312,95.73300170898438,96.1094970703125,96.1094970703125,63842000,15.347332954406738,15.539999961853027,15.085332870483398,15.14466667175293,15.14466667175293,123201000
2019-07-02,50.352500915527344,50.782501220703125,50.34000015258789,50.682498931884766,48.97988510131836,67740800,136.1199951171875,136.58999633789062,135.33999633789062,136.5800018310547,130.2557373046875,15237800,55.24150085449219,55.644500732421875,54.98350143432617,55.630001068115234,55.566226959228516,20630000,95.96900177001953,96.739501953125,95.33149719238281,96.71549987792969,96.71549987792969,52918000,15.259332656860352,15.276666641235352,14.814666748046875,14.970000267028809,14.970000267028809,138885000
2019-07-03,50.81999969482422,51.11000061035156,50.67250061035156,51.102500915527344,49.385780334472656,45448000,136.8000030517578,137.74000549316406,136.2899932861328,137.4600067138672,131.09503173828125,13629300,55.92499923706055,56.39950180053711,55.74250030517578,56.14950180053711,56.08513259887695,20154000,96.79450225830078,97.07949829101562,96.5250015258789,96.94999694824219,96.94999694824219,33806000,15.959333419799805,16.10466766357422,15.633999824523926,15.65999984741211,15.65999984741211,213016500
2019-07-05,50.837501525878906,51.27000045776367,50.724998474121094,51.057498931884766,49.34228515625,69062000,135.94000244140625,137.3300018310547,135.72000122070312,137.05999755859375,130.71353149414062,18141100,55.96849822998047,56.73249816894531,55.875,56.63349914550781,56.56857681274414,29794000,96.43000030517578,97.29499816894531,96.26499938964844,97.14550018310547,97.14550018310547,52568000,15.637999534606934,15.696666717529297,15.386667251586914,15.539999961853027,15.539999961853027,105985500
2019-07-08,50.20249938964844,50.349998474121094,49.602500915527344,50.005001068115234,48.32514190673828,101354400,136.39999389648438,137.10000610351562,135.3699951171875,136.9600067138672,130.6181640625,16779700,56.29349899291992,56.36050033569336,55.5880012512207,55.839500427246094,55.77548599243164,29888000,96.70600128173828,97.80000305175781,96.4124984741211,97.61599731445312,97.61599731445312,57668000,15.416000366210938,15.483332633972168,15.244000434875488,15.355999946594238,15.355999946594238,88207500
2019-07-09,49.79999923706055,50.377498626708984,49.70249938964844,50.310001373291016,48.61989212036133,82312000,136.0,136.97000122070312,135.8000030517578,136.4600067138672,130.14132690429688,19953100,55.51599884033203,56.393001556396484,55.35749816894531,56.214500427246094,56.15005874633789,29472000,97.38999938964844,99.50050354003906,97.17400360107422,99.41500091552734,99.41500091552734,86914000,15.264666557312012,15.399999618530273,15.152000427246094,15.337332725524902,15.337332725524902,92862000
2019-07-10,50.462501525878906,50.932498931884766,50.38999938964844,50.807498931884766,49.100677490234375,71588400,137.1300048828125,138.5800018310547,137.02000427246094,137.85000610351562,131.46694946289062,24204400,56.61600112915039,57.117000579833984,56.53300094604492,57.045501708984375,56.980106353759766,30710000,99.82550048828125,101.24700164794922,99.7699966430664,100.87049865722656,100.87049865722656,98638000,15.609999656677246,15.929332733154297,15.542667388916016,15.928000450134277,15.928000450134277,137185500
2019-07-11,50.82749938964844,51.09749984741211,50.4275016784668,50.4375,48.74311065673828,80767200,138.1999969482422,139.22000122070312,137.8699951171875,138.39999389648438,131.99148559570312,22327900,57.30799865722656,57.6619987487793,56.97650146484375,57.20399856567383,57.13842010498047,26004000,101.28099822998047,101.79000091552734,99.76499938964844,100.05349731445312,100.05349731445312,86356000,15.87600040435791,16.100000381469727,15.720000267028809,15.90666675567627,15.90666675567627,112716000
2019-07-12,50.61249923706055,51.0,50.54999923706055,50.82500076293945,49.11759948730469,70380800,138.85000610351562,139.1300048828125,138.00999450683594,138.89999389648438,132.46835327148438,18936800,57.14649963378906,57.375,56.928001403808594,57.266998291015625,57.20134735107422,21878000,100.41349792480469,100.8499984741211,100.19349670410156,100.55000305175781,100.55000305175781,50186000,15.983332633972168,16.358667373657227,15.980667114257812,16.338666915893555,16.338666915893555,138007500
2019-07-15,51.022499084472656,51.467498779296875,51.0,51.3025016784668,49.579063415527344,67789600,139.44000244140625,139.5399932861328,138.4600067138672,138.89999389648438,132.46835327148438,16651500,57.266998291015625,57.534000396728516,57.0,57.5255012512207,57.459556579589844,21164000,101.06999969482422,101.1449966430664,100.07749938964844,101.04949951171875,101.04949951171875,59626000,16.53333282470703,16.961332321166992,16.323999404907227,16.899999618530273,16.899999618530273,165001500
